,id,row,tier,pix_count,hand_count
528,18PS1184,row-6,tier-20,132,42.0
529,18PS9051,row-31,tier-24,418,44.0
530,18PS9001,row-39,tier-20,212,43.0
531,18PS2011,row-23,tier-2,340,55.0
532,18PS0024,row-16,tier-22,191,35.0
533,18PS4023,row-22,tier-17,710,64.0
534,18PS1147,row-9,tier-16,273,44.0
535,18PS1202,row-4,tier-22,447,50.0
536,18PS9064,row-44,tier-24,261,53.0
537,18PS3003,row-18,tier-9,573,60.0
538,18PS0021,row-13,tier-22,312,36.0
539,18PS6031,row-45,tier-4,65,35.0
540,18PS2062,row-19,tier-7,116,29.0
541,18PS8017,row-40,tier-17,328,51.0
542,18PS3011,row-15,tier-10,295,52.0
543,18PS2001,row-13,tier-2,375,73.0
544,18PS9053,row-33,tier-24,177,25.0
545,18PS3050,row-21,tier-13,454,67.0
546,18PS3068,row-17,tier-15,745,35.0
547,18PS4017,row-16,tier-17,265,69.0
548,18PS1140,row-12,tier-15,1075,83.0
549,18PS7032,row-38,tier-12,72,43.0
550,18PS5096,row-32,tier-11,119,37.0
551,18PS3047,row-18,tier-13,707,55.0
552,18PS1192,row-4,tier-21,218,56.0
553,18PS2075,row-21,tier-8,724,75.0
554,18PS0043,row-20,tier-23,995,36.0
555,18PS6033,row-47,tier-4,244,57.0
556,18PS6022,row-47,tier-3,171,50.0
557,18PS5114,row-30,tier-13,302,67.0
558,18PS9003,row-41,tier-20,180,49.0
559,18PS7007,row-46,tier-9,477,85.0
560,18PS0015,row-18,tier-21,234,28.0
561,18PS1158,row-10,tier-17,294,64.0
562,18PS4033,row-21,tier-18,176,39.0
563,18PS2055,row-23,tier-6,411,42.0
564,18PS1034,row-6,tier-5,78,42.0
565,18PS4012,row-22,tier-16,82,47.0
566,18PS1175,row-7,tier-19,715,55.0
567,18PS7037,row-43,tier-12,1183,60.0
568,18PS7018,row-46,tier-10,118,55.0
569,18PS4039,row-16,tier-19,193,60.0
570,18PS5134,row-30,tier-15,306,48.0
571,18PS1005,row-7,tier-2,219,44.0
572,18PS7034,row-40,tier-12,306,65.0
573,18PS7013,row-41,tier-10,135,51.0
574,18PS1122,row-4,tier-14,416,54.0
575,18PS2036,row-15,tier-5,221,48.0
576,18PS1053,row-5,tier-7,822,67.0
577,18PS5036,row-32,tier-5,15,48.0
578,18PS1139,row-11,tier-15,496,65.0
579,18PS7045,row-40,tier-13,313,48.0
580,18PS1162,row-4,tier-18,332,54.0
581,18PS2043,row-22,tier-5,271,59.0
582,18PS1134,row-6,tier-15,135,53.0
583,18PS3055,row-15,tier-14,225,55.0
584,18PS9021,row-37,tier-22,248,28.0
585,18PS0032,row-9,tier-23,247,41.0
586,18PS7068,row-41,tier-15,428,45.0
587,18PS1209,row-11,tier-22,548,67.0
588,18PS1024,row-6,tier-4,47,64.0
589,18PS7059,row-43,tier-14,655,69.0
590,18PS8038,row-39,tier-19,536,44.0
591,18PS6063,row-44,tier-7,149,52.0
592,18PS0001,row-15,tier-20,61,32.0
593,18PS2063,row-20,tier-7,99,37.0
594,18PS1068,row-10,tier-8,158,56.0
595,18PS7058,row-42,tier-14,291,71.0
596,18PS1065,row-7,tier-8,88,21.0
597,18PS6042,row-45,tier-5,88,54.0
598,18PS1027,row-9,tier-4,48,39.0
599,18PS1030,row-12,tier-4,291,50.0
600,18PS1032,row-4,tier-5,4,35.0
601,18PS2066,row-23,tier-7,167,51.0
602,18PS4046,row-23,tier-19,67,28.0
603,18PS1115,row-7,tier-13,306,56.0
604,18PS1178,row-10,tier-19,609,41.0
